Date,missing_cols
2016-01-04,"['SOLVPN', 'VIX']"
2016-01-05,"['SOLVPN', 'VIX']"
2016-01-06,"['SOLVPN', 'VIX']"
2016-01-07,"['SOLVPN', 'VIX']"
2016-01-08,"['SOLVPN', 'VIX']"
2016-01-11,"['SOLVPN', 'VIX']"
2016-01-12,"['SOLVPN', 'VIX']"
2016-01-13,"['SOLVPN', 'VIX']"
2016-01-14,"['SOLVPN', 'VIX']"
2016-01-15,"['SOLVPN', 'VIX']"
2016-01-18,"['SOLVPN', 'COPPER', 'VIX']"
2016-01-19,"['SOLVPN', 'VIX']"
2016-01-20,"['SOLVPN', 'VIX']"
2016-01-21,"['SOLVPN', 'VIX']"
2016-01-22,"['SOLVPN', 'VIX']"
2016-01-25,"['SOLVPN', 'VIX']"
2016-01-26,"['SOLVPN', 'VIX']"
2016-01-27,"['SOLVPN', 'VIX']"
2016-01-28,"['SOLVPN', 'VIX']"
2016-01-29,"['SOLVPN', 'VIX']"
2016-02-01,"['SOLVPN', 'VIX']"
2016-02-02,"['SOLVPN', 'VIX']"
2016-02-03,"['SOLVPN', 'VIX']"
2016-02-04,"['SOLVPN', 'VIX']"
2016-02-05,"['SOLVPN', 'VIX']"
2016-02-08,"['SOLVPN', 'VIX']"
2016-02-09,"['SOLVPN', 'VIX']"
2016-02-10,"['SOLVPN', 'VIX']"
2016-02-11,"['SOLVPN', 'VIX']"
2016-02-12,"['SOLVPN', 'VIX']"
2016-02-15,"['SOLVPN', 'COPPER', 'VIX']"
2016-02-16,"['SOLVPN', 'VIX']"
2016-02-17,"['SOLVPN', 'VIX']"
2016-02-18,"['SOLVPN', 'VIX']"
2016-02-19,"['SOLVPN', 'VIX']"
2016-02-22,"['SOLVPN', 'VIX']"
2016-02-23,"['SOLVPN', 'VIX']"
2016-02-24,"['SOLVPN', 'VIX']"
2016-02-25,"['SOLVPN', 'VIX']"
2016-02-26,"['SOLVPN', 'VIX']"
2016-02-29,"['SOLVPN', 'VIX']"
2016-03-01,"['SOLVPN', 'VIX']"
2016-03-02,"['SOLVPN', 'VIX']"
2016-03-03,"['SOLVPN', 'VIX']"
2016-03-04,"['SOLVPN', 'VIX']"
2016-03-07,"['SOLVPN', 'VIX']"
2016-03-08,"['SOLVPN', 'VIX']"
2016-03-09,"['SOLVPN', 'VIX']"
2016-03-10,"['SOLVPN', 'VIX']"
2016-03-11,"['SOLVPN', 'VIX']"
2016-03-14,"['SOLVPN', 'VIX']"
2016-03-15,"['SOLVPN', 'VIX']"
2016-03-16,"['SOLVPN', 'VIX']"
2016-03-17,"['SOLVPN', 'VIX']"
2016-03-18,"['SOLVPN', 'VIX']"
2016-03-21,"['SOLVPN', 'VIX']"
2016-03-22,"['SOLVPN', 'VIX']"
2016-03-23,"['SOLVPN', 'VIX']"
2016-03-24,"['SOLVPN', 'VIX']"
2016-03-28,"['SOLVPN', 'VIX']"
2016-03-29,"['SOLVPN', 'VIX']"
2016-03-30,"['SOLVPN', 'VIX']"
2016-03-31,"['SOLVPN', 'VIX']"
2016-04-01,"['SOLVPN', 'VIX']"
2016-04-04,"['SOLVPN', 'VIX']"
2016-04-05,"['SOLVPN', 'VIX']"
2016-04-06,"['SOLVPN', 'VIX']"
2016-04-07,"['SOLVPN', 'VIX']"
2016-04-08,"['SOLVPN', 'VIX']"
2016-04-11,"['SOLVPN', 'VIX']"
2016-04-12,"['SOLVPN', 'VIX']"
2016-04-13,"['SOLVPN', 'VIX']"
2016-04-14,"['SOLVPN', 'VIX']"
