datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
4/20/2024 4:00:00 AM,4/20/2024 12:00:00 AM,51288,WESTERN HUB,,,HUB,,21.31,22.499895,0.811146,0.378749,True,1
4/20/2024 5:00:00 AM,4/20/2024 1:00:00 AM,51288,WESTERN HUB,,,HUB,,21.48,22.760103,0.912708,0.367395,True,1
4/20/2024 6:00:00 AM,4/20/2024 2:00:00 AM,51288,WESTERN HUB,,,HUB,,18.42,19.356562,0.666458,0.270104,True,1
4/20/2024 7:00:00 AM,4/20/2024 3:00:00 AM,51288,WESTERN HUB,,,HUB,,18.34,19.230833,0.603021,0.287812,True,1
4/20/2024 8:00:00 AM,4/20/2024 4:00:00 AM,51288,WESTERN HUB,,,HUB,,18.24,19.178958,0.681667,0.257291,True,1
4/20/2024 9:00:00 AM,4/20/2024 5:00:00 AM,51288,WESTERN HUB,,,HUB,,18.86,19.904166,0.781354,0.262812,True,1
4/20/2024 10:00:00 AM,4/20/2024 6:00:00 AM,51288,WESTERN HUB,,,HUB,,22.26,23.026041,0.626250,0.139791,True,1
4/20/2024 11:00:00 AM,4/20/2024 7:00:00 AM,51288,WESTERN HUB,,,HUB,,24.12,24.769895,0.724271,-0.074376,True,1
4/20/2024 12:00:00 PM,4/20/2024 8:00:00 AM,51288,WESTERN HUB,,,HUB,,23.80,24.388853,0.578958,0.009895,True,1
4/20/2024 1:00:00 PM,4/20/2024 9:00:00 AM,51288,WESTERN HUB,,,HUB,,22.63,23.305937,0.687604,-0.011667,True,1
4/20/2024 2:00:00 PM,4/20/2024 10:00:00 AM,51288,WESTERN HUB,,,HUB,,19.86,20.497187,0.806458,-0.169271,True,1
4/20/2024 3:00:00 PM,4/20/2024 11:00:00 AM,51288,WESTERN HUB,,,HUB,,18.56,19.203958,0.729896,-0.085938,True,1
4/20/2024 4:00:00 PM,4/20/2024 12:00:00 PM,51288,WESTERN HUB,,,HUB,,16.40,17.295624,0.913021,-0.017397,True,1
4/20/2024 5:00:00 PM,4/20/2024 1:00:00 PM,51288,WESTERN HUB,,,HUB,,14.92,15.749999,0.767708,0.062291,True,1
4/20/2024 6:00:00 PM,4/20/2024 2:00:00 PM,51288,WESTERN HUB,,,HUB,,13.92,14.721562,0.672812,0.128750,True,1
4/20/2024 7:00:00 PM,4/20/2024 3:00:00 PM,51288,WESTERN HUB,,,HUB,,13.61,14.539478,0.792291,0.137187,True,1
4/20/2024 8:00:00 PM,4/20/2024 4:00:00 PM,51288,WESTERN HUB,,,HUB,,15.11,15.999791,0.695000,0.194791,True,1
4/20/2024 9:00:00 PM,4/20/2024 5:00:00 PM,51288,WESTERN HUB,,,HUB,,17.54,18.735312,1.141562,0.053750,True,1
4/20/2024 10:00:00 PM,4/20/2024 6:00:00 PM,51288,WESTERN HUB,,,HUB,,22.08,22.859270,0.751770,0.027500,True,1
4/20/2024 11:00:00 PM,4/20/2024 7:00:00 PM,51288,WESTERN HUB,,,HUB,,28.85,30.609789,1.839894,-0.080105,True,1
4/21/2024 12:00:00 AM,4/20/2024 8:00:00 PM,51288,WESTERN HUB,,,HUB,,39.14,41.587181,2.610515,-0.163334,True,1
