variable,mean,std,min,max,skewness,kurtosis,n_obs
dlog_SOLVPN,2.1984614349013002e-17,1.0008261050562097,-3.958027690938735,3.7258816098376526,-0.19378619818036336,0.89650435509582,606
dlog_COPPER,-1.4656409566008667e-18,1.0008261050562097,-13.665032067947724,6.720731681997905,-3.8169788669707256,59.59371718042073,606
dlog_GOLD,8.7938457396052e-18,1.0008261050562097,-5.241509488250494,3.651618475802812,-0.39710580362151277,2.551045006157257,606
dlog_SILVER,8.7938457396052e-18,1.0008261050562097,-4.6356685837538745,4.595795753081378,0.042994330377449735,2.4735342391250086,606
dlog_DXY,1.3923589087708233e-17,1.0008261050562097,-4.467273478636948,3.639824324494024,-0.261321553617475,1.1543565087845984,606
dlog_OIL,4.3969228698026e-18,1.00082610505621,-4.330584151260235,3.0573758233189645,-0.39690487788481443,0.7365985922170966,606
dlog_GAS,-5.862563826403467e-18,1.0008261050562097,-14.112426933555742,4.618828463277652,-5.32532719387647,72.59927225505866,606
d_UST10Y,-8.7938457396052e-18,1.0008261050562097,-3.652287617781666,3.293855315017531,-0.046056045661387435,0.4214107224014505,606
d_VIX,1.75876914792104e-17,1.0008261050562097,-10.838710495486398,8.757537014897018,-0.5593279985395493,38.51598354250917,606
d_PJM_LMP,0.0,1.0008261050562097,-8.050004727971467,4.434524714590778,-1.8014489337030926,16.6005816871176,606
