lag,aic,bic,hqic,fpe,best_aic,best_bic,best_hqic,best_fpe,recommended_by_vote
1,-1.405318386823952,-0.5950390690769916,-1.0897985466113682,0.24529923034587586,True,True,True,True,True
2,-1.4030013906197127,0.14389548871539404,-0.8006453320320528,0.2459297024916807,False,False,False,False,False
3,-1.2617243097605824,1.0217901311626703,-0.3725320327978461,0.2834315386354292,False,False,False,False,False
4,-1.1355197596838504,1.8846122428275485,0.040508735653961736,0.32195507313389715,False,False,False,False,False
5,-1.0151397705454193,2.741609793554125,0.44772494316746947,0.3638752579053545,False,False,False,False,False
6,-0.8849647719155342,3.6084023537721563,0.8647361601724306,0.415708110769499,False,False,False,False,False
7,-0.7269486236558333,4.503036063620003,1.3095885268072074,0.4889079121337749,False,False,False,False,False
8,-0.5877057169181685,5.378896531945815,1.7356676519199485,0.5650829187230219,False,False,False,False,False
9,-0.4467780097641745,6.256441800687954,2.1634315774490185,0.6552682039605382,False,False,False,False,False
10,-0.2634758747508541,7.176361497289419,2.6335699308374148,0.7941672974917091,False,False,False,False,False
