Date,SOLVPN,COPPER,GOLD,SILVER,DXY,UST10Y,VIX,OIL,GAS,PJM_LMP
2022-11-30,885.03,3.7395,1753.2,21.727,105.897,3.611,20.58,80.48,7.0,54.652008875
2022-12-01,885.75,3.819,1808.2,22.786,104.689,3.51,19.84,81.06,6.33,68.83337479166667
2022-12-05,873.91,3.795,1774.3,22.324,105.239,3.583,20.75,76.83,4.15,59.82648066666667
2022-12-06,863.17,3.818,1775.5,22.256,105.542,3.531,22.17,74.21,4.58,55.452885916666666
2022-12-07,856.42,3.861,1791.0,22.837,105.056,3.421,22.68,71.93,4.49,49.76516125
2022-12-08,863.62,3.885,1794.2,23.157,104.756,3.489,22.29,71.3,4.79,51.42580304166666
2022-12-12,866.45,3.8015,1785.0,23.314,105.104,3.617,25.0,72.96,6.73,64.69292879166666
2022-12-13,887.64,3.8425,1818.3,23.909,103.943,3.501,22.55,75.44,7.2,82.02763645833333
2022-12-14,882.05,3.8785,1811.5,24.049,103.739,3.479,21.14,77.14,6.54,87.01688962499999
2022-12-15,862.22,3.7645,1780.6,23.229,104.532,3.45,22.83,75.89,6.8,77.95728004166666
2022-12-19,829.44,3.7845,1791.0,23.117,104.595,3.59,22.42,75.05,6.08,93.378317375
2022-12-20,825.59,3.7995,1818.6,24.183,103.606,3.692,21.48,75.92,5.28,91.28497358333334
2022-12-21,837.81,3.811,1818.5,24.121,103.847,3.673,20.07,78.17,6.13,71.3747335
2022-12-22,832.28,3.7575,1788.5,23.561,104.127,3.686,21.97,77.68,7.1,62.95238791666667
2022-12-27,833.1,3.84,1816.3,24.142,103.893,3.849,21.65,79.45,4.88,191.60758341666667
2022-12-28,824.1,3.842,1808.8,23.756,104.182,3.886,22.14,78.89,4.06,81.38709220833333
2022-12-29,842.18,3.824,1826.0,24.25,103.586,3.82,21.44,78.43,3.78,51.74473979166667
2023-01-03,849.49,3.7665,1846.1,24.236,104.312,3.752,22.9,76.87,3.64,29.916330666666667
2023-01-04,873.66,3.7405,1859.0,23.964,104.021,3.69,22.01,72.82,3.75,34.56593420833334
2023-01-05,849.41,3.821,1840.6,23.424,104.828,3.722,22.46,73.61,3.78,38.599554
2023-01-09,872.67,4.0265,1877.8,23.871,102.743,3.527,21.97,74.69,3.65,40.86694729166667
2023-01-10,877.95,4.0775,1876.5,23.665,102.98,3.615,20.58,75.11,3.32,51.28220983333333
2023-01-11,890.89,4.166,1878.9,23.481,102.928,3.543,21.09,77.46,3.41,47.09047775
2023-01-12,905.04,4.1965,1898.8,24.004,101.995,3.444,18.83,78.32,3.47,35.832450375
2023-01-17,908.3,4.223,1909.9,24.068,102.141,3.549,19.36,80.25,3.43,44.398083750000005
2023-01-18,891.53,4.2345,1907.0,23.647,102.107,3.373,20.34,79.53,3.2,40.21705120833334
2023-01-19,882.83,4.2315,1923.9,23.87,101.831,3.399,20.52,80.31,2.91,32.20175245833333
2023-01-23,898.36,4.2565,1928.6,23.554,101.916,3.521,19.81,81.62,3.43,40.51221883333333
2023-01-24,900.82,4.2485,1935.4,23.749,101.675,3.455,19.2,79.86,3.35,41.96666666666667
2023-01-25,905.07,4.2445,1942.6,23.941,101.416,3.451,19.08,79.78,3.09,39.722355416666666
2023-01-26,918.47,4.2675,1930.0,24.02,101.638,3.506,18.73,80.64,2.72,34.16380279166667
2023-01-30,910.81,4.2065,1930.2,23.821,102.086,3.542,19.94,77.97,2.82,36.326073083333334
2023-01-31,922.93,4.2295,1936.6,23.93,101.915,3.51,19.4,78.95,2.65,41.46586816666667
2023-02-01,945.01,4.117,1934.3,23.703,101.028,3.417,17.87,76.34,2.65,40.618230000000004
2023-02-02,961.23,4.098,1922.2,23.715,101.575,3.402,18.73,75.87,2.67,39.468117875
2023-02-06,920.45,4.043,1871.2,22.337,103.498,3.644,19.43,74.11,2.17,28.035063500000003
2023-02-07,924.55,4.088,1876.5,22.277,103.298,3.679,18.66,77.17,2.35,26.749537875
2023-02-08,921.91,4.043,1882.2,22.52,103.272,3.615,19.63,78.47,2.4,26.950427708333333
2023-02-09,915.69,4.103,1870.0,22.241,103.106,3.664,20.71,78.04,2.4,23.9270305
2023-02-13,910.38,4.0655,1855.1,21.942,103.248,3.704,20.34,80.14,2.42,26.052494125
2023-02-14,904.75,4.0835,1857.0,21.961,103.123,3.753,18.91,79.08,2.42,24.165597708333333
2023-02-15,906.72,4.0165,1837.0,21.659,103.839,3.803,18.23,78.57,2.45,23.328592416666666
2023-02-16,901.76,4.125,1843.4,21.81,103.791,3.863,20.17,78.45,2.48,24.725102500000002
2023-02-21,871.09,4.2165,1834.2,21.97,104.112,3.954,22.87,76.28,2.12,25.472428625000003
2023-02-22,855.63,4.186,1833.3,21.748,104.523,3.927,22.29,73.95,2.07,25.966383041666663
2023-02-23,866.26,4.0555,1818.8,21.376,104.539,3.89,21.14,75.26,2.17,24.258531041666668
