lag,aic,bic,hqic,fpe
1,-39.245564284532506,-39.128002062406445,-39.20149462951046,9.033751228302714e-18
2,-39.23711629759413,-39.02145405721142,-39.15626960073731,9.110406142198517e-18
3,-39.213672569292505,-38.89979051056866,-39.09600115430185,9.326548535512497e-18
4,-39.190224450980146,-38.77800253426943,-39.035680543588306,9.547894093547495e-18
5,-39.16788714352693,-38.65720508896219,-38.97642287122386,9.763686156736221e-18
6,-39.15206056828517,-38.542797855115204,-38.92362796004273,9.919617818508096e-18
7,-39.14746967431016,-38.43950554023486,-38.882020660305756,9.965508257481752e-18
8,-39.130767097801034,-38.32398053830417,-38.828253509140275,1.0133686850170157e-17
9,-39.104192797584965,-38.19846256526459,-38.76456636602332,1.0407027921892659e-17
10,-39.08901814823021,-38.08422275212677,-38.71223050589367,1.0566706407418703e-17
