lag,aic,bic,hqic,fpe,best_aic,best_bic,best_hqic,best_fpe,recommended_by_vote
1,-1.5789613053692197,-1.1448551318186047,-1.4141450484905853,0.20619031360281057,True,True,True,True,True
2,-1.5398356320625524,-0.7150339023163839,-1.2266847439931472,0.21442460999246768,False,False,False,False,False
3,-1.4563184461969585,-0.2408211602552366,-0.9948329269367824,0.23312161642745088,False,False,False,False,False
4,-1.3743342440626558,0.23185859807461995,-0.7645140936117087,0.25308008235644497,False,False,False,False,False
5,-1.326046887067422,0.6708415112654067,-0.5678921054257042,0.26567032612040403,False,False,False,False,False
6,-1.245417782874516,1.1421661716538662,-0.33892837004202736,0.28809039028048417,False,False,False,False,False
7,-1.1595242349616344,1.6187552757623016,-0.10470019093837468,0.3140989240916664,False,False,False,False,False
8,-1.085116552313357,2.083858514606132,0.11804212290067362,0.33860425420441115,False,False,False,False,False
9,-1.0645172635460947,2.495153359568948,0.2869760428587069,0.34596899932675246,False,False,False,False,False
10,-0.9825718377074868,2.9677943416031094,0.5172560998880855,0.3759436936456016,False,False,False,False,False
