t,Date,mean_abs_beta,mean_diag_cov,mean_diag_P,min_cov_eig,min_P_eig
0,2020-10-14,0.0414889318589159,0.967900897099461,0.08997667421713965,0.3470076886874059,0.0009091798734485747
1,2020-10-15,0.08771095406803558,0.9356751963344663,0.07997789542939603,0.33548446193061915,0.0010152289187824889
2,2020-10-19,0.13132616767272334,0.906347397837931,0.06987009963118213,0.3249472868536585,0.001106960572129252
3,2020-10-20,0.1749140997597208,0.882337555376393,0.05990658945915803,0.30927607350011627,0.0010879460914840465
4,2020-10-21,0.21138795390063556,0.8654057124843924,0.04951498489583936,0.2970570885887464,0.001006896789705493
5,2020-10-22,0.27465668500877893,0.891323394794501,0.03913138043273202,0.2824943659243351,0.0007066538084207723
6,2020-10-26,0.3297864683653874,0.9224190157321329,0.02835589198443957,0.2700588204156673,0.0006442723988355718
7,2020-10-27,0.3713737252088567,1.0125882493317229,0.021355944407293485,0.26440370859419987,0.0007140469799287983
8,2020-10-28,0.6811166268706197,1.166885793201569,0.01822836635403719,0.2536457458812947,0.0008209349705754883
9,2020-10-29,0.5515257213838851,1.6183028126116341,0.016033225399665126,0.2508878017299333,0.00023707410979126222
10,2020-11-02,0.5805334397970422,1.5664365552128183,0.010398009061963578,0.23834697391171372,0.0003394637861893259
11,2020-11-03,0.5249770201712776,1.5465028555336042,0.009116765959320388,0.24108641841736647,0.00039118804036463107
12,2020-11-04,0.5087584030583806,1.5865473604233633,0.005717181571931198,0.22920646400133576,0.0003981898727501137
13,2020-11-05,0.47688835633799154,1.801857420393194,0.005014028772760358,0.2256323943133545,0.0002763641130478995
14,2020-11-09,0.5211681256114843,1.8936377152234296,0.004876850077338932,0.22786073171243448,0.00029833440789174147
15,2020-11-10,0.5263521523720011,2.674084837527764,0.004255876556424389,0.24418073559041106,0.0001454514724415267
16,2020-11-11,0.4018364840592173,3.1154166475752416,0.003913847645905214,0.237497265955623,0.00024692036116957735
17,2020-11-12,0.3907407407493867,3.037610385561936,0.003659617308064218,0.2257501066854083,0.0003493322012725916
18,2020-11-16,0.3749822039297722,2.9472887348714583,0.003654709782265651,0.22289044853664433,0.0004388017059979888
19,2020-11-17,0.33587341710020785,2.86826970406213,0.003287280826197435,0.2236813811580011,0.0005386350324616511
20,2020-11-18,0.3295306330629146,2.7351007582761344,0.00323690173151977,0.2131025024247743,0.0006434221147755728
21,2020-11-19,0.3295305072564561,2.605400146529483,0.003268981061761317,0.2026153045714033,0.0007086728252148535
22,2020-11-23,0.3338493028874647,2.5264033227375258,0.0033043162929885343,0.1924845738182344,0.0007747468248184591
23,2020-11-24,0.3416136821785999,2.450296345337281,0.0032030185359823147,0.19205989658570533,0.0006036383483015236
24,2020-11-25,0.32595235442285264,2.3817352624644923,0.003139327619589565,0.1826384798984884,0.00047135081953488694
25,2020-11-30,0.3268174670729179,2.2956515743007664,0.0032189753661192384,0.21412079149847754,0.0005703896532884895
26,2020-12-01,0.3259279156641655,2.235645020786512,0.002866772324902543,0.20530870333120496,0.0006193163781463897
27,2020-12-02,0.31164315999814934,2.2149761581153804,0.0028073027848701886,0.1954339316881604,0.00035515943430797567
28,2020-12-03,0.3067109775195427,2.144763045428585,0.0027076573275929246,0.1871881612221165,0.0004587564280597635
29,2020-12-07,0.297838215774578,2.1016592478185614,0.002737551838564879,0.19827641578046062,0.0005520939400730286
30,2020-12-08,0.2894573694114889,2.0066380665917256,0.0027389602592316955,0.18842663362703682,0.000580364806836264
31,2020-12-09,0.2655625468237203,1.9826732551507387,0.002788511021595357,0.18185258585867795,0.0006862292678272943
32,2020-12-10,0.2538879050567791,1.9088972565599727,0.0027260273236739564,0.1747723473332286,0.0005056361118136507
33,2020-12-14,0.24155870220830422,1.849039359601023,0.002711076235952537,0.16937000283201864,0.0006101864210996556
34,2020-12-15,0.22621607492166224,1.798998365590616,0.0026933342449366867,0.16188084882447593,0.0006935060780301796
35,2020-12-16,0.219214344793058,1.7235445619659435,0.00274690592182409,0.1582554719188085,0.0006326036905088575
36,2020-12-17,0.21353058372964792,1.7020773724567944,0.0028218129429092207,0.15042603031186,0.000718328362810236
37,2020-12-21,0.2139448912869009,1.667339698886849,0.002869504314192193,0.1565742475431806,0.00042493424572198667
38,2020-12-22,0.2081992631428826,1.628097730640949,0.0027862726606574743,0.14997693241906448,0.0005043553256184326
39,2020-12-23,0.2113466355714387,1.5696873681874417,0.0028072966005484555,0.143936857106824,0.0004952124418142718
40,2020-12-28,0.21108224427289093,1.508819414381679,0.002904187713867838,0.14902647486350118,0.0005530419239254412
41,2020-12-29,0.20742637908129438,1.4581608331262885,0.0027498652355727425,0.14915289711898244,0.0006442357905087274
42,2020-12-30,0.18949574623603624,1.4148458117659524,0.002728309208010974,0.14302209091461635,0.0007504651936764787
43,2021-01-04,0.2051133038734268,1.434890246412471,0.002795624095982797,0.1405024948135174,0.000771756180858264
