t,TO_dlog_SOLVPN,FROM_dlog_SOLVPN,TO_dlog_COPPER,FROM_dlog_COPPER,TO_dlog_GOLD,FROM_dlog_GOLD,TO_dlog_SILVER,FROM_dlog_SILVER,TO_dlog_DXY,FROM_dlog_DXY,TO_dlog_OIL,FROM_dlog_OIL,TO_dlog_GAS,FROM_dlog_GAS,TO_d_UST10Y,FROM_d_UST10Y,TO_d_VIX,FROM_d_VIX,TO_d_PJM_LMP,FROM_d_PJM_LMP
0,46.77141453355558,43.051614736941325,47.87305974460786,41.0225901342112,100.67694925650986,56.365994636427374,81.12939346246048,49.37749342834616,82.09905682151128,53.71793043208759,16.77383181208268,55.79126912669563,4.081468238941321,50.84199588634907,45.595403990059914,49.705785983701475,26.739565091913743,41.54239802185926,1.498083160251229,11.821153725274891
1,49.772155287054076,54.24538946770113,33.82445684303818,38.17442370516824,81.40002589453506,54.145024412192434,66.24854425388979,48.66674277707735,68.38953563631209,53.24913601866732,36.44871989260381,49.17605940371567,46.33054273663214,47.692729182651114,27.964297461752473,49.40738494118065,34.88036008106272,44.592788801408744,8.28602236953142,14.194981746649038
2,80.86190379822442,68.10162640753991,24.48892861534977,45.66200721259418,54.1083827435895,55.91320441216489,48.82834987384085,61.98367171532717,45.65316352483313,54.84041892762954,135.4420246338524,49.277757298267986,41.35057309593497,52.40342510514198,40.55039646617209,78.67245225147812,81.34005114560196,57.89180739125198,5.120877520901212,32.99828069690457
3,78.40051274552702,66.25101276422095,34.00493331850535,53.991060353179776,65.79043742393871,57.02561492178475,51.14170058988392,68.59110413264573,62.597300672918045,66.71329160361637,49.3477662466091,73.81002274433463,33.15030035625873,60.67237705382392,25.80529859191693,76.10396316625622,74.03606079162815,53.947262392944275,130.81229058591765,27.980892190296903
4,94.22986663651534,69.94258927388837,29.35101784048204,81.0992839477774,36.57460799731745,71.90485360551237,60.50274823120423,69.88607741643949,97.25804645650513,73.77713729213062,26.068016223804737,82.23107524239252,45.73221272302334,87.1179265642108,111.94849959579862,76.64404665477635,96.59079403883707,76.11520003598594,142.51312108148406,52.05074079185816
5,122.23237969551677,75.69455448089239,40.99394497023802,79.8012577581724,24.605955781420256,86.49785859907048,57.4504126360037,84.19909251476929,89.01017809268622,85.5151563994322,76.7581330466191,76.3313873805591,97.68586718603194,81.26850561464009,112.98837475910261,67.5091649746717,90.84403679322239,81.52729015468323,86.01648782856812,80.24150291251821
6,91.33568267763435,79.26669202277753,54.87813242106441,78.98825201029102,45.93482602573866,85.63689677196527,74.00688439746261,79.15893991190643,49.70415311297555,91.63965997560169,70.87123616267219,74.5143170261298,62.99801641961507,86.66957995785164,76.78996882074036,76.36243027793188,68.39049475584035,83.46520521009417,203.19704309922662,62.404464728420706
7,97.95103246480082,84.81622655021594,111.35559487791792,76.31445834821618,38.55363740588269,94.86678478635056,39.485613836728,92.72412066697916,49.55759327255639,92.70276766076226,56.185813563693074,83.04566351985594,39.62423977292065,90.05147744314024,123.34255563154899,83.3501756305747,98.08936428072077,81.1912573875313,178.84792331585263,53.93043642899562
8,81.7824272406926,83.38693774383356,162.4862125006212,72.8639181178392,93.95904520932832,87.92988697490455,78.62362630709534,80.59518726080597,47.798304685555735,89.7265492775255,64.59594352731274,94.76113213717245,61.11820845197447,80.42905445346562,74.27334782788341,78.4939525141462,44.6569738307717,91.33516368075696,119.13370837914444,68.90601579992986
9,106.17234377684377,83.88294268424443,109.40943101485196,81.37448281123835,124.43216374602146,84.74419225394116,133.2384920374506,81.82100310179015,128.09342216831516,84.02907614311195,63.27170821865904,88.03354409651398,23.297680715994744,95.960733711916,29.906842623569734,93.79118880141515,109.30236706278845,80.73635579201712,36.53656909510544,89.28750106341208
