,dlog_SOLVPN,dlog_COPPER,dlog_GOLD,dlog_SILVER,dlog_DXY,dlog_OIL,dlog_GAS,d_UST10Y,d_VIX,d_PJM_LMP
dlog_SOLVPN,0.5100060341982636,0.04423273867198595,0.05274088265118929,0.03251319738186244,0.00974255164671361,0.11594298070326066,0.012898773979786527,0.005227499584123999,0.19089225934297482,0.025803081839839054
dlog_COPPER,0.03529324359581357,0.42021441420945377,0.14998103883770741,0.09632010545104427,0.007286173173672727,0.03804011839390924,0.15320103524007442,0.033452078862991105,0.006915416080611406,0.05929637615472215
dlog_GOLD,0.08929952810566745,0.1952062488288967,0.33806283199174825,0.03250612988559137,0.013094292716959543,0.05761748811249086,0.12819214755684497,0.04043032802143319,0.02430237454405416,0.08128863023631347
dlog_SILVER,0.017380065022079505,0.14323821983133495,0.10914066940225658,0.4394212012932898,0.02416426829585231,0.0667290464201287,0.12073157257554824,0.01083382047434909,0.011240919151023814,0.05712021753413703
dlog_DXY,0.021275414490102312,0.015622028418167878,0.036140400955943154,0.07012378686141468,0.5818444624158455,0.029148365237962034,0.026840483418699882,0.08624952021238391,0.06329176889611521,0.06946376909336548
dlog_OIL,0.049747079562670195,0.09621318040240232,0.04591190178086489,0.14378690734751,0.030959727392561802,0.45732776192715957,0.020478823804176222,0.06755777869906246,0.02068206071862849,0.06733477836496399
dlog_GAS,0.054120331380995895,0.13926921719666455,0.11132206521495894,0.11311472790763374,0.04062718168409096,0.08963141041539212,0.22741995067882226,0.011762110901738638,0.008893129923389432,0.20383987469631343
d_UST10Y,0.05843357579899027,0.051856341344742055,0.013507711615227942,0.054176941079466114,0.0794501170980742,0.05700799940808337,0.04687112580350585,0.5778210316402911,0.010444581991841341,0.05043057421977776
d_VIX,0.18733775440441447,0.04546658206876398,0.04697590796107755,0.043460443853197236,0.03692708257348635,0.04629116445074563,0.015015516766155044,0.058140852323780634,0.5094923415805576,0.010892354017821583
d_PJM_LMP,0.12079836476432394,0.0762911409213716,0.0286857755561848,0.0658610840615625,0.0451369697649125,0.1229377415821633,0.03984225135219943,0.02294197990916335,0.043357069245258006,0.4341476228428605
