,dlog_SOLVPN,dlog_COPPER,dlog_GOLD,dlog_SILVER,dlog_DXY,dlog_OIL,dlog_GAS,d_UST10Y,d_VIX,d_PJM_LMP
dlog_SOLVPN,38.51020799726411,6.7343238929203855,6.327363745403844,7.277309284399582,7.042048888734999,4.475749579592849,3.8432434600687073,6.691261585111183,14.94937028690619,4.149121279598173
dlog_COPPER,7.321494385464094,40.57107357226023,7.588088686635717,11.22579858137465,7.944063253799044,5.263558921170564,3.991689675400546,4.519553345902844,6.495938802559507,5.078740775432765
dlog_GOLD,6.966464600440385,6.428302616202742,35.7362276762922,19.237309524127074,8.767655818055069,3.514748882390187,3.92758266239522,6.555223367115157,5.414946729267034,3.4515381237149185
dlog_SILVER,6.943014005615153,9.584394148820415,17.965887375368485,35.50393999299169,8.101077355182152,3.9785887122834236,3.326849622227689,5.403239451990603,5.402811445584373,3.7901978899360644
dlog_DXY,7.8822275143839216,7.087503625714133,8.64872152936789,8.31581130256076,38.55643627431148,4.453324470184458,5.300395139899141,9.471538983737268,6.863244143216484,3.4207970166245127
dlog_OIL,7.167022242088025,6.178484617562419,4.943859595087356,5.97444367388482,6.275659780411786,47.538388898038015,5.177054309744747,5.565702753154633,6.880251105789525,4.299133024238717
dlog_GAS,5.47191464608904,3.939998663261685,4.834367392042028,4.968886862188146,6.478374324716422,4.636630282159554,53.12171002950214,5.392092436336009,5.123057187141566,6.032968176563355
d_UST10Y,8.669082933970062,4.693908765672235,7.31019574308581,6.429791674203041,10.851491965506577,4.381033467907414,4.254294958558999,41.81188720785925,7.41853937027028,4.179773912966342
d_VIX,17.033125572042213,5.40050023764877,5.3248804166474795,5.73608953153133,5.376571483547932,5.163095038790531,3.0093503561423236,6.215423925918801,43.50471813282715,3.236245304903451
d_PJM_LMP,5.6854538580277865,3.624270467908928,4.9088406783268255,5.1739573583841505,4.546273486081612,4.212250842888271,8.243947217095048,5.099743430248819,4.618103333931956,53.887159327106566
