horizon,response,shock,fevd
1,dlog_SOLVPN,dlog_SOLVPN,1.0
1,dlog_SOLVPN,dlog_COPPER,0.0
1,dlog_SOLVPN,dlog_DXY,0.0
1,dlog_SOLVPN,d_UST10Y,0.0
1,dlog_SOLVPN,dlog_VIX,0.0
1,dlog_COPPER,dlog_SOLVPN,0.04819639134651168
1,dlog_COPPER,dlog_COPPER,0.9518036086534883
1,dlog_COPPER,dlog_DXY,0.0
1,dlog_COPPER,d_UST10Y,0.0
1,dlog_COPPER,dlog_VIX,0.0
1,dlog_DXY,dlog_SOLVPN,0.09192369397546873
1,dlog_DXY,dlog_COPPER,0.07096184037160418
1,dlog_DXY,dlog_DXY,0.8371144656529272
1,dlog_DXY,d_UST10Y,0.0
1,dlog_DXY,dlog_VIX,0.0
1,d_UST10Y,dlog_SOLVPN,0.04962885230750368
1,d_UST10Y,dlog_COPPER,0.0028559201555501826
1,d_UST10Y,dlog_DXY,0.08642307851331066
1,d_UST10Y,d_UST10Y,0.8610921490236354
1,d_UST10Y,dlog_VIX,0.0
1,dlog_VIX,dlog_SOLVPN,0.28160307150640923
1,dlog_VIX,dlog_COPPER,0.015256218236808805
1,dlog_VIX,dlog_DXY,0.002657409374888134
1,dlog_VIX,d_UST10Y,0.011293827807542652
1,dlog_VIX,dlog_VIX,0.6891894730743514
2,dlog_SOLVPN,dlog_SOLVPN,0.9943463991505797
2,dlog_SOLVPN,dlog_COPPER,3.9995593062931676e-05
2,dlog_SOLVPN,dlog_DXY,0.0001750980002756503
2,dlog_SOLVPN,d_UST10Y,0.002771638992613923
2,dlog_SOLVPN,dlog_VIX,0.0026668682634679156
2,dlog_COPPER,dlog_SOLVPN,0.053663862356894625
2,dlog_COPPER,dlog_COPPER,0.9377939489522078
2,dlog_COPPER,dlog_DXY,0.0013494290804944161
2,dlog_COPPER,d_UST10Y,2.332169263167117e-05
2,dlog_COPPER,dlog_VIX,0.00716943791777141
2,dlog_DXY,dlog_SOLVPN,0.09784545443733074
2,dlog_DXY,dlog_COPPER,0.07030835032243567
2,dlog_DXY,dlog_DXY,0.8213141979541692
2,dlog_DXY,d_UST10Y,0.006921622181616859
2,dlog_DXY,dlog_VIX,0.0036103751044476405
2,d_UST10Y,dlog_SOLVPN,0.052872837262106155
2,d_UST10Y,dlog_COPPER,0.0030671809572806203
2,d_UST10Y,dlog_DXY,0.08675202249830857
2,d_UST10Y,d_UST10Y,0.8568186807887698
2,d_UST10Y,dlog_VIX,0.0004892784935347773
2,dlog_VIX,dlog_SOLVPN,0.28319453106248765
2,dlog_VIX,dlog_COPPER,0.015240511324056922
2,dlog_VIX,dlog_DXY,0.0029839762871870885
2,dlog_VIX,d_UST10Y,0.011581196927692664
