Date,From,To,DeltaS
2020-10-22,SOLVPN,UST10Y,0.3655812891009371
2020-10-22,COPPER,UST10Y,0.1451802998648636
2020-10-22,GOLD,UST10Y,0.14174759393066946
2020-10-22,SOLVPN,VIX,0.1270030721497592
2020-10-22,DXY,UST10Y,0.10365142619367532
2020-10-22,SOLVPN,SILVER,0.08617547188750559
2020-10-22,COPPER,SILVER,0.06367878960882478
2020-10-22,SILVER,UST10Y,0.05743881348358517
2020-10-22,COPPER,SOLVPN,0.050381781354236016
2020-10-22,COPPER,VIX,0.03610212964405435
2020-10-22,DXY,SILVER,0.03441214277222433
2020-10-22,DXY,SOLVPN,0.03103948018850137
2020-10-22,GOLD,SOLVPN,0.029383574288490286
2020-10-22,VIX,SOLVPN,0.024059154524307708
2020-10-22,COPPER,GOLD,0.023160326485559275
2020-10-22,SOLVPN,GOLD,0.020674250735365843
2020-10-22,GOLD,SILVER,0.020341344479648055
2020-10-22,SILVER,SOLVPN,0.01678854470624986
2020-10-22,COPPER,DXY,0.014218462636365864
2020-10-22,SOLVPN,DXY,0.014178472014220275
2020-10-22,VIX,UST10Y,0.011631386606926027
2020-10-22,SILVER,GOLD,0.01142965013915928
2020-10-22,UST10Y,SOLVPN,0.008446318089045113
2020-10-22,UST10Y,GOLD,0.008144270619973304
2020-10-22,SILVER,COPPER,0.007949354364971045
2020-10-22,UST10Y,DXY,0.007085222932051993
2020-10-22,GOLD,COPPER,0.006620629344629772
2020-10-22,DXY,GOLD,0.005885517135519186
2020-10-22,DXY,COPPER,0.004819366585917306
2020-10-22,SOLVPN,COPPER,0.004339995363724081
2020-10-22,UST10Y,SILVER,0.003969567561210127
2020-10-22,VIX,SILVER,0.003626223499563423
2020-10-22,DXY,VIX,0.0035963807176023436
2020-10-22,GOLD,DXY,0.0032513609341625477
2020-10-22,VIX,COPPER,0.00321381644877659
2020-10-22,UST10Y,COPPER,0.0022673871125212727
2020-10-22,SILVER,VIX,0.0017467022337096343
2020-10-22,VIX,GOLD,0.001522244635548409
2020-10-22,VIX,DXY,0.0006189606239595524
2020-10-22,SILVER,DXY,0.0005894068958061244
2020-10-22,GOLD,VIX,0.0005679508850862875
2020-10-22,UST10Y,VIX,0.000243128763843776
2020-10-28,SOLVPN,VIX,0.21033656455891214
2020-10-28,VIX,SOLVPN,0.19887705824133695
2020-10-28,SOLVPN,UST10Y,0.15520151119862233
2020-10-28,SILVER,VIX,0.10387021503125056
2020-10-28,SILVER,SOLVPN,0.10078787142427319
2020-10-28,GOLD,UST10Y,0.09615604945151536
2020-10-28,GOLD,SOLVPN,0.09338383181693381
2020-10-28,COPPER,UST10Y,0.08594278202066152
2020-10-28,SOLVPN,SILVER,0.07033376978859215
2020-10-28,DXY,SOLVPN,0.06863186301107992
2020-10-28,GOLD,VIX,0.06302274696406358
2020-10-28,VIX,SILVER,0.057843409534063875
2020-10-28,DXY,VIX,0.05711891034339339
2020-10-28,VIX,UST10Y,0.056113264359737375
2020-10-28,SILVER,UST10Y,0.04654721244103615
2020-10-28,DXY,UST10Y,0.0448809825869509
