Date,Magnitude,Top1_From,Top1_To,Top1_DeltaS,Top2_From,Top2_To,Top2_DeltaS,Top3_From,Top3_To,Top3_DeltaS
2020-10-22,1.5067612615427504,SOLVPN,UST10Y,0.3655812891009371,COPPER,UST10Y,0.1451802998648636,GOLD,UST10Y,0.14174759393066946
2020-10-28,1.7923690979032079,SOLVPN,VIX,0.21033656455891214,VIX,SOLVPN,0.19887705824133695,SOLVPN,UST10Y,0.15520151119862233
2020-11-04,1.5630634914163894,UST10Y,SOLVPN,0.16021229555322045,VIX,SOLVPN,0.14812073756198899,SOLVPN,GOLD,0.1234025761594084
2020-11-09,2.8740642262969756,DXY,SOLVPN,0.23978942098268163,VIX,SOLVPN,0.23945294575027978,SOLVPN,GOLD,0.23723291332110763
2020-11-10,2.8602489512912954,DXY,SOLVPN,0.4459328498176379,VIX,SOLVPN,0.3965500678759071,SILVER,SOLVPN,0.2250506765728296
2020-11-11,2.1643811577043843,VIX,SOLVPN,0.3642791260653964,DXY,SOLVPN,0.3251172053400476,UST10Y,SOLVPN,0.15384566221986437
2021-02-01,1.5764218712410825,SOLVPN,SILVER,0.1624919059910055,VIX,SILVER,0.14110843233937514,SILVER,SOLVPN,0.10650918214650651
2021-02-02,1.6735216733185823,VIX,SILVER,0.18086815599989509,VIX,SOLVPN,0.14190260924417042,COPPER,SILVER,0.14042687988511798
2021-06-17,1.9528410075981244,COPPER,GOLD,0.1545515849627982,COPPER,SOLVPN,0.13253854688009503,UST10Y,DXY,0.1320639368876144
2022-03-01,1.7542547162877469,GOLD,COPPER,0.12620592188259164,COPPER,SILVER,0.10751409836514089,SILVER,COPPER,0.10605554091482478
2022-03-02,2.625763698988451,SOLVPN,COPPER,0.312901534613845,SOLVPN,VIX,0.20023297711689733,SOLVPN,SILVER,0.18966522904957395
2022-03-07,1.4272127059856172,COPPER,SILVER,0.13072347952858496,SOLVPN,COPPER,0.1302477476770463,COPPER,GOLD,0.11525284338651456
2022-06-13,1.649687574720431,UST10Y,SOLVPN,0.15180822649970713,SOLVPN,DXY,0.11451298416059583,VIX,SILVER,0.1109745090534166
2022-07-28,1.4751367482057527,SOLVPN,COPPER,0.1696952512036493,GOLD,COPPER,0.10537180976293953,SOLVPN,SILVER,0.09716012040560505
