Date,Direction,Horizon,Response
2020-10-22,COPPER_to_SOLVPN,0,-0.050381781354236016
2020-10-22,COPPER_to_SOLVPN,1,-0.04333234238071779
2020-10-22,COPPER_to_SOLVPN,2,-0.05106776935142095
2020-10-22,COPPER_to_SOLVPN,3,-0.008378997352827988
2020-10-22,COPPER_to_SOLVPN,4,-0.03183444466473194
2020-10-22,COPPER_to_SOLVPN,5,-0.04023316622541879
2020-10-22,COPPER_to_SOLVPN,6,-0.037359983882382736
2020-10-22,COPPER_to_SOLVPN,7,-0.02661283156013016
2020-10-22,COPPER_to_SOLVPN,8,-0.018224007764905403
2020-10-22,COPPER_to_SOLVPN,9,-0.0391440919200463
2020-10-22,COPPER_to_SOLVPN,10,0.11784428710932808
2020-10-22,COPPER_to_SOLVPN,11,0.011444738659322579
2020-10-22,COPPER_to_SOLVPN,12,0.0020462997474389732
2020-10-22,COPPER_to_SOLVPN,13,0.014053655238078902
2020-10-22,COPPER_to_SOLVPN,14,-0.009655570576199132
2020-10-22,COPPER_to_SOLVPN,15,-0.008771313718451954
2020-10-22,COPPER_to_SOLVPN,16,0.005035594746727115
2020-10-22,COPPER_to_SOLVPN,17,-0.004684629518613828
2020-10-22,COPPER_to_SOLVPN,18,-0.03192060062767671
2020-10-22,COPPER_to_SOLVPN,19,-0.014513730689228982
2020-10-22,COPPER_to_SOLVPN,20,0.13611198653998668
2020-10-22,SOLVPN_to_COPPER,0,0.004339995363724081
2020-10-22,SOLVPN_to_COPPER,1,0.013339405364981155
2020-10-22,SOLVPN_to_COPPER,2,0.018542946839654934
2020-10-22,SOLVPN_to_COPPER,3,0.01339630608308075
2020-10-22,SOLVPN_to_COPPER,4,0.06315977192540757
2020-10-22,SOLVPN_to_COPPER,5,0.06330498793800812
2020-10-22,SOLVPN_to_COPPER,6,0.04954046890081677
2020-10-22,SOLVPN_to_COPPER,7,0.0035491788692475663
2020-10-22,SOLVPN_to_COPPER,8,-0.0014319447016332594
2020-10-22,SOLVPN_to_COPPER,9,0.014494487562786932
2020-10-22,SOLVPN_to_COPPER,10,-0.010497767326322328
2020-10-22,SOLVPN_to_COPPER,11,0.005033942746993515
2020-10-22,SOLVPN_to_COPPER,12,0.003794265586938749
2020-10-22,SOLVPN_to_COPPER,13,0.0025741268805380135
2020-10-22,SOLVPN_to_COPPER,14,0.008977391611084466
2020-10-22,SOLVPN_to_COPPER,15,-0.0052873953489168315
2020-10-22,SOLVPN_to_COPPER,16,-0.007173018497535308
2020-10-22,SOLVPN_to_COPPER,17,-0.005228218126916326
2020-10-22,SOLVPN_to_COPPER,18,-0.00936852709488934
2020-10-22,SOLVPN_to_COPPER,19,0.010243031891821311
2020-10-22,SOLVPN_to_COPPER,20,0.011051136277083682
2020-10-28,COPPER_to_SOLVPN,0,0.04268877199859296
2020-10-28,COPPER_to_SOLVPN,1,0.019233324686689007
2020-10-28,COPPER_to_SOLVPN,2,0.010834603126002158
2020-10-28,COPPER_to_SOLVPN,3,0.013707785469038211
2020-10-28,COPPER_to_SOLVPN,4,0.024454937791290786
2020-10-28,COPPER_to_SOLVPN,5,0.032843761586515544
2020-10-28,COPPER_to_SOLVPN,6,0.011923677431374645
2020-10-28,COPPER_to_SOLVPN,7,0.16891205646074903
2020-10-28,COPPER_to_SOLVPN,8,0.06251250801074353
2020-10-28,COPPER_to_SOLVPN,9,0.05311406909885992
2020-10-28,COPPER_to_SOLVPN,10,0.06512142458949985
2020-10-28,COPPER_to_SOLVPN,11,0.041412198775221815
2020-10-28,COPPER_to_SOLVPN,12,0.04229645563296899
2020-10-28,COPPER_to_SOLVPN,13,0.05610336409814806
2020-10-28,COPPER_to_SOLVPN,14,0.04638313983280712
2020-10-28,COPPER_to_SOLVPN,15,0.019147168723744237
2020-10-28,COPPER_to_SOLVPN,16,0.036554038662191965
2020-10-28,COPPER_to_SOLVPN,17,0.18717975589140762
2020-10-28,COPPER_to_SOLVPN,18,0.06819906605064946
2020-10-28,COPPER_to_SOLVPN,19,0.060762599811039236
2020-10-28,COPPER_to_SOLVPN,20,-0.00042714956806349375
2020-10-28,SOLVPN_to_COPPER,0,-0.005146640756574183
2020-10-28,SOLVPN_to_COPPER,1,0.04461682508575264
2020-10-28,SOLVPN_to_COPPER,2,0.04476204109835319
2020-10-28,SOLVPN_to_COPPER,3,0.03099752206116184
2020-10-28,SOLVPN_to_COPPER,4,-0.014993767970407367
2020-10-28,SOLVPN_to_COPPER,5,-0.019974891541288193
2020-10-28,SOLVPN_to_COPPER,6,-0.0040484592768680015
2020-10-28,SOLVPN_to_COPPER,7,-0.029040714165977262
2020-10-28,SOLVPN_to_COPPER,8,-0.013509004092661418
2020-10-28,SOLVPN_to_COPPER,9,-0.014748681252716184
2020-10-28,SOLVPN_to_COPPER,10,-0.01596881995911692
2020-10-28,SOLVPN_to_COPPER,11,-0.009565555228570468
2020-10-28,SOLVPN_to_COPPER,12,-0.023830342188571767
2020-10-28,SOLVPN_to_COPPER,13,-0.02571596533719024
2020-10-28,SOLVPN_to_COPPER,14,-0.023771164966571258
2020-10-28,SOLVPN_to_COPPER,15,-0.027911473934544274
2020-10-28,SOLVPN_to_COPPER,16,-0.008299914947833623
2020-10-28,SOLVPN_to_COPPER,17,-0.0074918105625712515
2020-10-28,SOLVPN_to_COPPER,18,-0.00889699218922485
2020-10-28,SOLVPN_to_COPPER,19,-0.01743726840920659
2020-10-28,SOLVPN_to_COPPER,20,-0.017722055979414723
2020-11-04,COPPER_to_SOLVPN,0,0.010747152322252575
2020-11-04,COPPER_to_SOLVPN,1,0.019135976117477332
2020-11-04,COPPER_to_SOLVPN,2,-0.0017841080376635662
2020-11-04,COPPER_to_SOLVPN,3,0.1552042709917108
2020-11-04,COPPER_to_SOLVPN,4,0.048804722541705314
2020-11-04,COPPER_to_SOLVPN,5,0.03940628362982171
2020-11-04,COPPER_to_SOLVPN,6,0.05141363912046164
2020-11-04,COPPER_to_SOLVPN,7,0.027704413306183603
2020-11-04,COPPER_to_SOLVPN,8,0.028588670163930782
2020-11-04,COPPER_to_SOLVPN,9,0.04239557862910985
2020-11-04,COPPER_to_SOLVPN,10,0.03267535436376891
2020-11-04,COPPER_to_SOLVPN,11,0.005439383254706026
2020-11-04,COPPER_to_SOLVPN,12,0.022846253193153754
2020-11-04,COPPER_to_SOLVPN,13,0.1734719704223694
2020-11-04,COPPER_to_SOLVPN,14,0.05449128058161125
2020-11-04,COPPER_to_SOLVPN,15,0.047054814342001025
2020-11-04,COPPER_to_SOLVPN,16,-0.014134935037101705
2020-11-04,COPPER_to_SOLVPN,17,-0.008220791102254689
2020-11-04,COPPER_to_SOLVPN,18,-0.005697617015973239
2020-11-04,COPPER_to_SOLVPN,19,-0.019629140882667907
2020-11-04,COPPER_to_SOLVPN,20,0.010453364472153018
2020-11-04,SOLVPN_to_COPPER,0,-0.04599129003156921
2020-11-04,SOLVPN_to_COPPER,1,-0.05097241360245003
2020-11-04,SOLVPN_to_COPPER,2,-0.035045981338029844
2020-11-04,SOLVPN_to_COPPER,3,-0.0600382362271391
2020-11-04,SOLVPN_to_COPPER,4,-0.04450652615382326
2020-11-04,SOLVPN_to_COPPER,5,-0.04574620331387802
2020-11-04,SOLVPN_to_COPPER,6,-0.04696634202027876
2020-11-04,SOLVPN_to_COPPER,7,-0.04056307728973231
2020-11-04,SOLVPN_to_COPPER,8,-0.054827864249733606
2020-11-04,SOLVPN_to_COPPER,9,-0.05671348739835208
2020-11-04,SOLVPN_to_COPPER,10,-0.0547686870277331
2020-11-04,SOLVPN_to_COPPER,11,-0.058908995995706114
2020-11-04,SOLVPN_to_COPPER,12,-0.03929743700899546
2020-11-04,SOLVPN_to_COPPER,13,-0.038489332623733094
2020-11-04,SOLVPN_to_COPPER,14,-0.03989451425038669
2020-11-04,SOLVPN_to_COPPER,15,-0.04843479047036843
2020-11-04,SOLVPN_to_COPPER,16,-0.04871957804057656
2020-11-04,SOLVPN_to_COPPER,17,-0.048301519997230695
2020-11-04,SOLVPN_to_COPPER,18,-0.05346538937193339
2020-11-04,SOLVPN_to_COPPER,19,-0.020649970411997433
2020-11-04,SOLVPN_to_COPPER,20,-0.003540518531971855
2020-11-09,COPPER_to_SOLVPN,0,-0.0209200841551409
2020-11-09,COPPER_to_SOLVPN,1,0.1360682948742335
2020-11-09,COPPER_to_SOLVPN,2,0.029668746424227982
2020-11-09,COPPER_to_SOLVPN,3,0.020270307512344377
2020-11-09,COPPER_to_SOLVPN,4,0.032277663002984305
2020-11-09,COPPER_to_SOLVPN,5,0.008568437188706271
2020-11-09,COPPER_to_SOLVPN,6,0.00945269404645345
2020-11-09,COPPER_to_SOLVPN,7,0.02325960251163252
2020-11-09,COPPER_to_SOLVPN,8,0.013539378246291575
2020-11-09,COPPER_to_SOLVPN,9,-0.013696592862771306
2020-11-09,COPPER_to_SOLVPN,10,0.0037102770756764214
2020-11-09,COPPER_to_SOLVPN,11,0.1543359943048921
2020-11-09,COPPER_to_SOLVPN,12,0.035355304464133916
2020-11-09,COPPER_to_SOLVPN,13,0.027918838224523693
2020-11-09,COPPER_to_SOLVPN,14,-0.03327091115457904
2020-11-09,COPPER_to_SOLVPN,15,-0.02735676721973202
2020-11-09,COPPER_to_SOLVPN,16,-0.02483359313345057
2020-11-09,COPPER_to_SOLVPN,17,-0.03876511700014524
2020-11-09,COPPER_to_SOLVPN,18,-0.008682611645324315
2020-11-09,COPPER_to_SOLVPN,19,-0.011133748351658194
2020-11-09,COPPER_to_SOLVPN,20,-0.010605489927790687
2020-11-09,SOLVPN_to_COPPER,0,0.01592643226442019
2020-11-09,SOLVPN_to_COPPER,1,-0.009065822624689069
2020-11-09,SOLVPN_to_COPPER,2,0.006465887448626775
2020-11-09,SOLVPN_to_COPPER,3,0.0052262102885720085
2020-11-09,SOLVPN_to_COPPER,4,0.004006071582171273
2020-11-09,SOLVPN_to_COPPER,5,0.010409336312717725
2020-11-09,SOLVPN_to_COPPER,6,-0.003855450647283572
2020-11-09,SOLVPN_to_COPPER,7,-0.0057410737959020484
2020-11-09,SOLVPN_to_COPPER,8,-0.0037962734252830668
2020-11-09,SOLVPN_to_COPPER,9,-0.00793658239325608
2020-11-09,SOLVPN_to_COPPER,10,0.01167497659345457
2020-11-09,SOLVPN_to_COPPER,11,0.012483080978716941
2020-11-09,SOLVPN_to_COPPER,12,0.011077899352063342
2020-11-09,SOLVPN_to_COPPER,13,0.0025376231320816
2020-11-09,SOLVPN_to_COPPER,14,0.002252835561873468
2020-11-09,SOLVPN_to_COPPER,15,0.002670893605219337
2020-11-09,SOLVPN_to_COPPER,16,-0.0024929757694833604
2020-11-09,SOLVPN_to_COPPER,17,0.0303224431904526
2020-11-09,SOLVPN_to_COPPER,18,0.04743189507047818
2020-11-09,SOLVPN_to_COPPER,19,0.015955367548443837
2020-11-09,SOLVPN_to_COPPER,20,0.007563669895286906
2020-11-10,COPPER_to_SOLVPN,0,0.15698837902937438
2020-11-10,COPPER_to_SOLVPN,1,0.05058883057936888
2020-11-10,COPPER_to_SOLVPN,2,0.041190391667485275
2020-11-10,COPPER_to_SOLVPN,3,0.053197747158125204
2020-11-10,COPPER_to_SOLVPN,4,0.02948852134384717
2020-11-10,COPPER_to_SOLVPN,5,0.03037277820159435
2020-11-10,COPPER_to_SOLVPN,6,0.04417968666677342
2020-11-10,COPPER_to_SOLVPN,7,0.034459462401432474
2020-11-10,COPPER_to_SOLVPN,8,0.007223491292369592
2020-11-10,COPPER_to_SOLVPN,9,0.02463036123081732
2020-11-10,COPPER_to_SOLVPN,10,0.17525607846003297
2020-11-10,COPPER_to_SOLVPN,11,0.056275388619274815
2020-11-10,COPPER_to_SOLVPN,12,0.04883892237966459
2020-11-10,COPPER_to_SOLVPN,13,-0.012350826999438139
2020-11-10,COPPER_to_SOLVPN,14,-0.006436683064591123
2020-11-10,COPPER_to_SOLVPN,15,-0.003913508978309672
2020-11-10,COPPER_to_SOLVPN,16,-0.01784503284500434
2020-11-10,COPPER_to_SOLVPN,17,0.012237472509816584
2020-11-10,COPPER_to_SOLVPN,18,0.009786335803482704
2020-11-10,COPPER_to_SOLVPN,19,0.010314594227350211
2020-11-10,COPPER_to_SOLVPN,20,0.026036360136975627
2020-11-10,SOLVPN_to_COPPER,0,-0.02499225488910926
2020-11-10,SOLVPN_to_COPPER,1,-0.009460544815793417
2020-11-10,SOLVPN_to_COPPER,2,-0.010700221975848183
2020-11-10,SOLVPN_to_COPPER,3,-0.011920360682248918
2020-11-10,SOLVPN_to_COPPER,4,-0.0055170959517024665
2020-11-10,SOLVPN_to_COPPER,5,-0.01978188291170376
2020-11-10,SOLVPN_to_COPPER,6,-0.02166750606032224
2020-11-10,SOLVPN_to_COPPER,7,-0.01972270568970326
2020-11-10,SOLVPN_to_COPPER,8,-0.02386301465767627
2020-11-10,SOLVPN_to_COPPER,9,-0.004251455670965621
2020-11-10,SOLVPN_to_COPPER,10,-0.00344335128570325
2020-11-10,SOLVPN_to_COPPER,11,-0.004848532912356849
2020-11-10,SOLVPN_to_COPPER,12,-0.013388809132338591
2020-11-10,SOLVPN_to_COPPER,13,-0.013673596702546724
2020-11-10,SOLVPN_to_COPPER,14,-0.013255538659200854
2020-11-10,SOLVPN_to_COPPER,15,-0.018419408033903552
2020-11-10,SOLVPN_to_COPPER,16,0.014396010926032408
2020-11-10,SOLVPN_to_COPPER,17,0.03150546280605798
2020-11-10,SOLVPN_to_COPPER,18,2.8935284023645647e-05
2020-11-10,SOLVPN_to_COPPER,19,-0.008362762369133286
2020-11-10,SOLVPN_to_COPPER,20,0.004492609502450232
2020-11-11,COPPER_to_SOLVPN,0,-0.1063995484500055
2020-11-11,COPPER_to_SOLVPN,1,-0.11579798736188911
2020-11-11,COPPER_to_SOLVPN,2,-0.10379063187124918
2020-11-11,COPPER_to_SOLVPN,3,-0.1274998576855272
2020-11-11,COPPER_to_SOLVPN,4,-0.12661560082778003
2020-11-11,COPPER_to_SOLVPN,5,-0.11280869236260097
2020-11-11,COPPER_to_SOLVPN,6,-0.12252891662794191
2020-11-11,COPPER_to_SOLVPN,7,-0.1497648877370048
2020-11-11,COPPER_to_SOLVPN,8,-0.13235801779855705
2020-11-11,COPPER_to_SOLVPN,9,0.01826769943065859
2020-11-11,COPPER_to_SOLVPN,10,-0.10071299041009957
2020-11-11,COPPER_to_SOLVPN,11,-0.10814945664970979
2020-11-11,COPPER_to_SOLVPN,12,-0.16933920602881253
2020-11-11,COPPER_to_SOLVPN,13,-0.1634250620939655
2020-11-11,COPPER_to_SOLVPN,14,-0.16090188800768407
2020-11-11,COPPER_to_SOLVPN,15,-0.17483341187437873
2020-11-11,COPPER_to_SOLVPN,16,-0.1447509065195578
2020-11-11,COPPER_to_SOLVPN,17,-0.14720204322589167
2020-11-11,COPPER_to_SOLVPN,18,-0.14667378480202417
2020-11-11,COPPER_to_SOLVPN,19,-0.13095201889239877
2020-11-11,COPPER_to_SOLVPN,20,-0.14325953516360757
2020-11-11,SOLVPN_to_COPPER,0,0.015531710073315844
2020-11-11,SOLVPN_to_COPPER,1,0.014292032913261078
2020-11-11,SOLVPN_to_COPPER,2,0.013071894206860342
2020-11-11,SOLVPN_to_COPPER,3,0.019475158937406794
2020-11-11,SOLVPN_to_COPPER,4,0.005210371977405497
2020-11-11,SOLVPN_to_COPPER,5,0.0033247488287870205
2020-11-11,SOLVPN_to_COPPER,6,0.005269549199406002
2020-11-11,SOLVPN_to_COPPER,7,0.0011292402314329892
2020-11-11,SOLVPN_to_COPPER,8,0.02074079921814364
2020-11-11,SOLVPN_to_COPPER,9,0.02154890360340601
2020-11-11,SOLVPN_to_COPPER,10,0.02014372197675241
2020-11-11,SOLVPN_to_COPPER,11,0.011603445756770669
2020-11-11,SOLVPN_to_COPPER,12,0.011318658186562537
2020-11-11,SOLVPN_to_COPPER,13,0.011736716229908406
2020-11-11,SOLVPN_to_COPPER,14,0.006572846855205709
2020-11-11,SOLVPN_to_COPPER,15,0.03938826581514167
2020-11-11,SOLVPN_to_COPPER,16,0.056497717695167246
2020-11-11,SOLVPN_to_COPPER,17,0.025021190173132906
2020-11-11,SOLVPN_to_COPPER,18,0.016629492519975975
2020-11-11,SOLVPN_to_COPPER,19,0.029484864391559493
2020-11-11,SOLVPN_to_COPPER,20,0.050763498809219876
2021-02-01,COPPER_to_SOLVPN,0,0.0917728655591864
2021-02-01,COPPER_to_SOLVPN,1,0.001860400377510632
2021-02-01,COPPER_to_SOLVPN,2,-0.013725344835687617
2021-02-01,COPPER_to_SOLVPN,3,-0.01803292371943553
2021-02-01,COPPER_to_SOLVPN,4,0.0005838950981308794
2021-02-01,COPPER_to_SOLVPN,5,-0.06178649087759965
2021-02-01,COPPER_to_SOLVPN,6,-0.07091349179319102
2021-02-01,COPPER_to_SOLVPN,7,-0.08277340005434682
2021-02-01,COPPER_to_SOLVPN,8,-0.06973601740115457
2021-02-01,COPPER_to_SOLVPN,9,-0.07881915984207759
2021-02-01,COPPER_to_SOLVPN,10,-0.060476834480409435
2021-02-01,COPPER_to_SOLVPN,11,-0.06725533828045463
2021-02-01,COPPER_to_SOLVPN,12,-0.041822652159356724
2021-02-01,COPPER_to_SOLVPN,13,0.08628157093159716
2021-02-01,COPPER_to_SOLVPN,14,0.07040875961512064
2021-02-01,COPPER_to_SOLVPN,15,0.0782533498189803
2021-02-01,COPPER_to_SOLVPN,16,0.09847925194445781
2021-02-01,COPPER_to_SOLVPN,17,-0.0595511638270684
2021-02-01,COPPER_to_SOLVPN,18,-0.053357074537224075
2021-02-01,COPPER_to_SOLVPN,19,-0.05148336185625157
2021-02-01,COPPER_to_SOLVPN,20,0.029013025284943122
2021-02-01,SOLVPN_to_COPPER,0,0.0065648557886439085
2021-02-01,SOLVPN_to_COPPER,1,0.044253555742014714
2021-02-01,SOLVPN_to_COPPER,2,0.06316886504024431
2021-02-01,SOLVPN_to_COPPER,3,-0.06484210729625572
2021-02-01,SOLVPN_to_COPPER,4,-0.06513260577566807
2021-02-01,SOLVPN_to_COPPER,5,-0.06117899005940769
2021-02-01,SOLVPN_to_COPPER,6,-0.06621595795501246
2021-02-01,SOLVPN_to_COPPER,7,-0.08065471488716121
2021-02-01,SOLVPN_to_COPPER,8,-0.08514108006135108
2021-02-01,SOLVPN_to_COPPER,9,-0.07808425562116485
2021-02-01,SOLVPN_to_COPPER,10,-0.07839615456610816
2021-02-01,SOLVPN_to_COPPER,11,-0.05205576072511117
2021-02-01,SOLVPN_to_COPPER,12,0.01896257942165859
2021-02-01,SOLVPN_to_COPPER,13,0.042364773777212414
2021-02-01,SOLVPN_to_COPPER,14,-0.012999482754864025
2021-02-01,SOLVPN_to_COPPER,15,-0.010023356093851146
2021-02-01,SOLVPN_to_COPPER,16,0.00642083751226756
2021-02-01,SOLVPN_to_COPPER,17,0.04075069454898865
2021-02-01,SOLVPN_to_COPPER,18,0.04180035411147727
2021-02-01,SOLVPN_to_COPPER,19,-0.07348017932608372
2021-02-01,SOLVPN_to_COPPER,20,-0.07442671560584348
2021-02-02,COPPER_to_SOLVPN,0,-0.08991246518167577
2021-02-02,COPPER_to_SOLVPN,1,-0.10549821039487402
2021-02-02,COPPER_to_SOLVPN,2,-0.10980578927862193
2021-02-02,COPPER_to_SOLVPN,3,-0.09118897046105552
2021-02-02,COPPER_to_SOLVPN,4,-0.15355935643678606
2021-02-02,COPPER_to_SOLVPN,5,-0.1626863573523774
2021-02-02,COPPER_to_SOLVPN,6,-0.1745462656135332
2021-02-02,COPPER_to_SOLVPN,7,-0.16150888296034097
2021-02-02,COPPER_to_SOLVPN,8,-0.170592025401264
2021-02-02,COPPER_to_SOLVPN,9,-0.15224970003959584
2021-02-02,COPPER_to_SOLVPN,10,-0.15902820383964103
2021-02-02,COPPER_to_SOLVPN,11,-0.1335955177185431
2021-02-02,COPPER_to_SOLVPN,12,-0.005491294627589238
2021-02-02,COPPER_to_SOLVPN,13,-0.021364105944065764
2021-02-02,COPPER_to_SOLVPN,14,-0.0135195157402061
2021-02-02,COPPER_to_SOLVPN,15,0.006706386385271407
2021-02-02,COPPER_to_SOLVPN,16,-0.1513240293862548
2021-02-02,COPPER_to_SOLVPN,17,-0.14512994009641048
2021-02-02,COPPER_to_SOLVPN,18,-0.14325622741543798
2021-02-02,COPPER_to_SOLVPN,19,-0.06275984027424328
2021-02-02,COPPER_to_SOLVPN,20,-0.07855428043486307
2021-02-02,SOLVPN_to_COPPER,0,0.037688699953370805
2021-02-02,SOLVPN_to_COPPER,1,0.056604009251600404
2021-02-02,SOLVPN_to_COPPER,2,-0.07140696308489963
2021-02-02,SOLVPN_to_COPPER,3,-0.07169746156431198
2021-02-02,SOLVPN_to_COPPER,4,-0.0677438458480516
2021-02-02,SOLVPN_to_COPPER,5,-0.07278081374365637
2021-02-02,SOLVPN_to_COPPER,6,-0.08721957067580512
2021-02-02,SOLVPN_to_COPPER,7,-0.091705935849995
2021-02-02,SOLVPN_to_COPPER,8,-0.08464911140980876
2021-02-02,SOLVPN_to_COPPER,9,-0.08496101035475206
2021-02-02,SOLVPN_to_COPPER,10,-0.05862061651375508
2021-02-02,SOLVPN_to_COPPER,11,0.012397723633014682
2021-02-02,SOLVPN_to_COPPER,12,0.035799917988568505
2021-02-02,SOLVPN_to_COPPER,13,-0.019564338543507934
2021-02-02,SOLVPN_to_COPPER,14,-0.016588211882495055
2021-02-02,SOLVPN_to_COPPER,15,-0.00014401827637634812
2021-02-02,SOLVPN_to_COPPER,16,0.03418583876034474
2021-02-02,SOLVPN_to_COPPER,17,0.03523549832283336
2021-02-02,SOLVPN_to_COPPER,18,-0.08004503511472763
2021-02-02,SOLVPN_to_COPPER,19,-0.08099157139448739
2021-02-02,SOLVPN_to_COPPER,20,-0.08183975766312092
2021-06-17,COPPER_to_SOLVPN,0,-0.13253854688009503
2021-06-17,COPPER_to_SOLVPN,1,-0.12944942472435345
2021-06-17,COPPER_to_SOLVPN,2,-0.13003125178710245
2021-06-17,COPPER_to_SOLVPN,3,-0.11701820187447465
2021-06-17,COPPER_to_SOLVPN,4,-0.12236885715263324
2021-06-17,COPPER_to_SOLVPN,5,-0.13156970311707628
2021-06-17,COPPER_to_SOLVPN,6,-0.13176032905918567
2021-06-17,COPPER_to_SOLVPN,7,-0.13095909755116086
2021-06-17,COPPER_to_SOLVPN,8,-0.12899488587731117
2021-06-17,COPPER_to_SOLVPN,9,-0.13660882986027495
2021-06-17,COPPER_to_SOLVPN,10,-0.13132501102670616
2021-06-17,COPPER_to_SOLVPN,11,-0.13288854126639904
2021-06-17,COPPER_to_SOLVPN,12,-0.12291489386441658
2021-06-17,COPPER_to_SOLVPN,13,-0.11933884838902362
2021-06-17,COPPER_to_SOLVPN,14,-0.12027342759014173
2021-06-17,COPPER_to_SOLVPN,15,-0.11828634391388512
2021-06-17,COPPER_to_SOLVPN,16,-0.09962647086033431
2021-06-17,COPPER_to_SOLVPN,17,-0.09977040243358892
2021-06-17,COPPER_to_SOLVPN,18,-0.10160927385524002
2021-06-17,COPPER_to_SOLVPN,19,-0.11645387562084417
2021-06-17,COPPER_to_SOLVPN,20,-0.11729417221028182
2021-06-17,SOLVPN_to_COPPER,0,-0.0010725542301948075
